objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
588015509801664627,349.60178112,0.51439901,20.248169,17.973751,16.814245,16.310247,15.932047,3325,41,5,38,4.998264
588015508730085473,354.460272,-0.32447513,19.443027,17.938612,17.206814,16.728262,16.470284,3325,41,3,71,6.371588
588015508730085492,354.49444426,-0.2153296,19.495737,17.74048,16.778028,16.3391,16.004066,3325,41,3,71,5.452694
588015508731592828,357.96939684,-0.2132358,19.961424,17.936823,17.042854,16.587576,16.250429,3325,41,3,94,3.348031
588015508731658342,358.04502825,-0.37340825,21.32637,18.676926,17.348452,16.82946,16.491142,3325,41,3,95,5.374686
588015508731658427,358.15864719,-0.33801467,19.450481,18.238468,17.69673,17.376335,17.16511,3325,41,3,95,7.053418
588015508730085496,354.49595729,-0.38189077,19.630445,18.096035,17.3106,16.852026,16.565161,3325,41,3,71,4.074299
588015509266169891,352.63732065,7.33839E-3,19.21138,18.272217,17.663637,17.173021,17.040564,3325,41,4,59,2.461396
588015509265973352,352.28613318,0.05732268,19.287731,18.297243,17.731361,17.339775,17.115181,3325,41,4,56,4.005737
588015508731920520,358.6870577,-0.31030502,20.908869,18.871851,17.605574,17.051023,16.573025,3325,41,3,99,3.821338
588015508731920548,358.72776035,-0.26434652,19.065123,17.889355,17.241701,16.869686,16.639177,3325,41,3,99,6.306195
588015508731920561,358.7507724,-0.26222413,20.076424,18.622547,17.571945,17.07572,16.712578,3325,41,3,99,3.532743
588015508730085504,354.50992922,-0.37894894,19.442263,17.773691,16.818888,16.326391,15.954951,3325,41,3,71,5.542239
588015508730085506,354.51406552,-0.38739363,19.926573,18.227257,17.150606,16.683487,16.32618,3325,41,3,71,5.222783
588015508731920569,358.76139081,-0.32015282,19.958174,18.339231,17.082148,16.570616,16.201035,3325,41,3,99,4.782196
588015509802713192,351.98179915,0.51077952,18.35512,16.929474,16.137581,15.66716,15.347015,3325,41,5,54,8.690888
588015509802713266,351.95653245,0.45790031,19.381071,18.332775,17.721052,17.361216,17.096848,3325,41,5,54,5.753154
588015508732051591,359.03879216,-0.34263,19.967117,18.329201,17.186729,16.683979,16.324831,3325,41,3,101,5.545723
588015508732117036,359.12776904,-0.39079503,17.700724,15.860312,15.020056,14.627463,14.321022,3325,41,3,102,8.092867
588015508732117101,359.10286468,-0.29434731,18.051954,16.819231,16.304235,16.063772,15.871098,3325,41,3,102,8.674005
588015508732117111,359.11294429,-0.2375832,18.794172,17.103539,16.37705,16.031681,15.735823,3325,41,3,102,9.433819
588015507656146999,354.11793469,-1.11991486,20.746578,18.754475,17.422314,16.929184,16.553061,3325,41,1,68,5.767678
588015508727005329,347.42671074,-0.4170283,18.985804,17.908428,17.27277,16.766058,16.547472,3325,41,3,24,4.147564
588015508727136361,347.69075984,-0.25939384,18.9109,17.683147,17.047983,16.643015,16.410564,3325,41,3,26,5.303585
