objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
588017704558002449,219.51537706,11.13297136,19.433775,17.463758,16.442514,16.007675,15.662691,3836,41,5,466,6.359307
588017704558264594,220.0086968,11.01896908,17.889397,15.9715,15.116385,14.706626,14.411914,3836,41,5,470,12.021164
588017704558985224,221.65005881,10.92378799,17.524879,15.702769,14.86478,14.487053,14.203494,3836,41,5,481,12.611728
588017704559706330,223.35629714,10.51548531,19.181437,17.206619,16.293392,15.850461,15.529294,3836,41,5,492,5.279816
588017704563245326,231.42882244,9.45315549,21.342926,19.017824,17.534006,16.989037,16.620991,3836,41,5,546,5.050474
588017704563310846,231.59443923,9.37836934,19.630194,17.622374,16.564993,16.113453,15.758729,3836,41,5,547,6.39314
588017704564294029,233.94268519,8.97451729,20.466288,18.69451,17.72043,17.297501,16.972702,3836,41,5,562,2.691199
588017704565473627,236.6337972,8.5268871,18.673115,16.552538,15.586292,15.130876,14.793918,3836,41,5,580,6.289353
587735489211531405,223.58399814,42.02238891,20.11886,18.115608,16.78614,16.287319,15.912283,3664,40,2,88,8.699671
588017711514910899,218.62162927,46.58309308,17.957804,16.212944,15.42657,15.072091,14.811028,3838,41,2,124,7.711562
587742061086769310,218.45917849,18.83934258,19.36928,17.342875,16.44278,16.039585,15.707895,5194,40,3,674,8.158123
587733608016576721,245.8339448,38.91142639,18.399376,16.42325,15.519999,15.085095,14.728328,3226,40,2,99,10.383436
587733604799938816,237.55942152,47.02215864,18.788671,16.809704,15.881931,15.46506,15.126086,3225,40,4,169,4.599698
588017712588783815,219.57487269,47.20045954,20.640734,18.748016,17.447401,16.912003,16.573694,3838,41,4,126,4.761388
588017713124933789,217.62473834,48.15056898,21.308084,19.048239,17.563774,16.996412,16.651447,3838,41,5,115,6.176112
588017713125261318,218.60001492,48.03747505,16.798447,14.878977,14.013759,13.592377,13.319574,3838,41,5,120,10.912017
